neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
West Town,41.90324,-87.69563,Private room,73,1,161,164
South Lawndale,41.85232,-87.69652,Entire home/apt,295,32,2,35
North Center,41.93723,-87.6828,Entire home/apt,151,2,43,362
North Center,41.93723,-87.6828,Entire home/apt,216,2,46,360
Lincoln Park,41.92751,-87.65011,Entire home/apt,183,2,76,365
Grand Boulevard,41.80944,-87.61664,Entire home/apt,100,32,29,365
Portage Park,41.94062,-87.75709,Private room,96,2,63,364
Avondale,41.93457,-87.69168,Entire home/apt,106,2,193,74
Uptown,41.97338,-87.67077,Entire home/apt,72,10,35,31
Lincoln Park,41.92751,-87.65011,Entire home/apt,186,2,51,365
Pullman,41.687,-87.6076,Private room,50,32,7,0
Grand Boulevard,41.81214,-87.61328,Entire home/apt,146,32,24,365
Lincoln Park,41.92751,-87.65011,Entire home/apt,254,3,78,331
Logan Square,41.91832,-87.68851,Private room,44,32,227,1
Near North Side,41.90172,-87.64301,Private room,105,1,113,344
Rogers Park,42.00809,-87.67159,Shared room,69,7,4,180
West Town,41.901756,-87.671387,Entire home/apt,154,3,204,227
East Garfield Park,41.88302,-87.7096,Private room,49,1,495,310
West Town,41.90031,-87.68735,Entire home/apt,143,32,42,55
Avondale,41.93465,-87.73009,Private room,35,30,10,200
Near North Side,41.89295,-87.62217,Entire home/apt,275,2,323,77
Lake View,41.95682,-87.66715,Private room,110,2,106,47
Logan Square,41.91832,-87.68851,Private room,36,32,88,4
West Town,41.89492,-87.65926,Private room,77,1,209,123
Near North Side,41.89585,-87.6258,Entire home/apt,179,32,13,316
Irving Park,41.962921,-87.735283,Entire home/apt,94,2,100,159
West Town,41.90089,-87.66546,Entire home/apt,96,1,621,30
Near North Side,41.90358,-87.63414,Entire home/apt,99,32,115,237
Logan Square,41.9182,-87.69768,Entire home/apt,186,32,77,365
Grand Boulevard,41.80584,-87.61531,Private room,46,30,140,365
Grand Boulevard,41.80614,-87.61538,Private room,46,30,101,329
West Town,41.89834,-87.69155,Private room,76,1,251,52
West Town,41.89425,-87.66837,Private room,110,3,28,0
Near North Side,41.89765,-87.62176,Entire home/apt,220,32,4,365
West Town,41.89998,-87.69244,Private room,114,32,189,179
Irving Park,41.962921,-87.735283,Entire home/apt,175,2,18,0
Lake View,41.94174,-87.6463,Entire home/apt,200,1,2,0
Lake View,41.93595,-87.65148,Private room,72,1,415,272
Logan Square,41.92026,-87.67979,Entire home/apt,175,30,5,75
Uptown,41.97146,-87.66882,Hotel room,185,3,44,17
Lake View,41.95679,-87.66731,Private room,110,2,116,68
Rogers Park,42.00772,-87.65823,Private room,60,32,17,0
Avondale,41.93321,-87.70383,Entire home/apt,86,32,25,0
West Town,41.89303,-87.64885,Entire home/apt,278,2,166,323
Near North Side,41.89577,-87.63182,Entire home/apt,150,60,2,365
West Town,41.8932,-87.65892,Entire home/apt,217,1,194,318
West Elsdon,41.78747,-87.71754,Entire home/apt,94,32,40,77
West Town,41.90451,-87.67943,Private room,55,2,177,0
Near North Side,41.89947,-87.62217,Entire home/apt,155,32,6,365
West Town,41.90434,-87.67967,Private room,52,2,256,199
Logan Square,41.92107,-87.70271,Private room,76,32,55,363
West Town,41.89329,-87.68574,Entire home/apt,107,2,414,118
Lower West Side,41.85799,-87.64757,Private room,41,32,308,358
Lower West Side,41.8555,-87.65398,Private room,93,1,146,361
Dunning,41.94137,-87.7956,Private room,125,3,17,269
West Town,41.89053,-87.68084,Entire home/apt,179,30,73,365
Near West Side,41.87186,-87.66469,Entire home/apt,136,2,683,190
West Town,41.89853,-87.66152,Private room,78,1,65,289
Logan Square,41.9236,-87.69717,Entire home/apt,95,1,242,286
West Town,41.90409,-87.68723,Private room,43,32,81,57
West Town,41.894903,-87.666413,Entire home/apt,122,32,272,285
West Town,41.90168,-87.693,Entire home/apt,170,3,206,311
Portage Park,41.94034,-87.75603,Entire home/apt,250,32,17,365
Grand Boulevard,41.82154,-87.61403,Entire home/apt,85,2,96,30
Loop,41.88784,-87.61645,Entire home/apt,175,90,14,365
West Town,41.90882552243898,-87.67533105194283,Entire home/apt,340,2,296,300
Near North Side,41.91071,-87.63307,Entire home/apt,99,2,1,0
Lower West Side,41.85707,-87.67082,Private room,25,32,155,47
West Town,41.89809,-87.68957,Private room,214,1,329,362
Lower West Side,41.85814,-87.67103,Entire home/apt,97,32,199,363
Lake View,41.94888,-87.65869,Entire home/apt,156,2,370,313
Austin,41.91181,-87.78665,Entire home/apt,150,3,151,121
Uptown,41.95621,-87.64939,Entire home/apt,90,32,31,0
Logan Square,41.91878,-87.70699,Entire home/apt,110,2,132,7
West Town,41.90567,-87.68912,Private room,60,1,199,7
East Garfield Park,41.88315,-87.70381,Entire home/apt,105,1,70,0
Lake View,41.93583,-87.64664,Entire home/apt,313,4,109,208
Austin,41.87548,-87.77406,Private room,38,2,70,250
Austin,41.88538,-87.77436,Private room,22,2,40,263
Lake View,41.94889,-87.65877,Entire home/apt,128,2,281,303
