neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
West Lawn,41.77641,-87.73426,Entire home/apt,139,32,0,365
Logan Square,41.93086,-87.71904,Entire home/apt,102,2,39,59
West Town,41.89882,-87.68646,Entire home/apt,140,1,1,14
Austin,41.88682,-87.74926,Entire home/apt,130,3,14,353
Lake View,41.93288,-87.66821,Entire home/apt,155,2,12,0
West Town,41.89688,-87.66817,Private room,40,1,44,6
East Garfield Park,41.88321,-87.70365,Entire home/apt,186,2,33,299
West Town,41.8989,-87.66831,Entire home/apt,313,1,10,6
West Town,41.89879,-87.66671,Entire home/apt,313,1,15,10
Logan Square,41.92734,-87.71006,Entire home/apt,143,3,49,277
Mckinley Park,41.82605,-87.66779,Private room,34,1,46,362
Lake View,41.937821,-87.6508314,Entire home/apt,196,32,0,0
Loop,41.8811213,-87.63199550000002,Entire home/apt,129,32,0,264
West Town,41.8988,-87.66724,Private room,37,1,41,5
West Town,41.89861,-87.66858,Private room,40,1,45,8
West Town,41.89691,-87.66672,Private room,40,1,43,7
Portage Park,41.96134,-87.74933,Entire home/apt,58,1,15,172
Near West Side,41.87161,-87.66479,Entire home/apt,90,2,66,85
Near North Side,41.90284,-87.63511,Entire home/apt,75,32,3,350
Near South Side,41.8634989,-87.62704269999999,Entire home/apt,146,32,0,301
Near West Side,41.876791,-87.64762,Entire home/apt,128,32,0,357
Mckinley Park,41.83225,-87.66639,Private room,35,1,0,0
Near South Side,41.85501,-87.62599,Entire home/apt,180,32,3,90
Near South Side,41.8634989,-87.62704269999999,Entire home/apt,143,32,0,292
Near West Side,41.876791,-87.64762,Entire home/apt,175,32,1,0
Near West Side,41.876791,-87.64762,Entire home/apt,180,32,0,0
Near West Side,41.876791,-87.64762,Entire home/apt,158,32,0,250
Edgewater,41.98688,-87.66738,Entire home/apt,235,2,15,47
Logan Square,41.92785,-87.70422,Entire home/apt,170,1,14,69
Bridgeport,41.84368,-87.6541,Entire home/apt,269,2,20,268
Humboldt Park,41.90825,-87.71686,Entire home/apt,106,32,0,145
Uptown,41.97197,-87.65801,Entire home/apt,198,2,38,332
West Town,41.89933,-87.67414,Entire home/apt,90,32,5,162
Lake View,41.9394,-87.65407,Entire home/apt,71,1,86,137
Greater Grand Crossing,41.76402,-87.61042,Entire home/apt,115,2,20,58
Near West Side,41.8746756,-87.6745347,Entire home/apt,133,32,1,364
Near West Side,41.876791,-87.64762,Entire home/apt,128,32,0,362
Logan Square,41.91745,-87.7089,Entire home/apt,40,1,32,328
Loop,41.87342,-87.62987,Entire home/apt,150,3,67,79
Near West Side,41.8746756,-87.6745347,Entire home/apt,128,32,0,321
Jefferson Park,41.97152,-87.76945,Private room,79,1,20,361
Near West Side,41.8746756,-87.6745347,Entire home/apt,160,32,3,340
West Ridge,41.99264,-87.68365,Entire home/apt,120,2,31,122
Near West Side,41.876791,-87.64762,Entire home/apt,182,32,0,0
Near West Side,41.88498,-87.64315,Entire home/apt,57,1,86,166
Lake View,41.937821,-87.6508314,Entire home/apt,272,32,0,0
Near South Side,41.86150360107422,-87.62380981445312,Entire home/apt,259,3,15,128
Lincoln Park,41.93194,-87.66309,Entire home/apt,111,3,54,317
Loop,41.8811213,-87.63199550000002,Entire home/apt,177,32,1,0
Near West Side,41.88495,-87.64288,Entire home/apt,58,1,86,161
Near West Side,41.8849796,-87.6611185,Entire home/apt,128,32,0,324
Near West Side,41.86241,-87.66092,Entire home/apt,279,3,21,314
Near West Side,41.88396,-87.65401,Entire home/apt,50,32,1,235
Near South Side,41.8634989,-87.62704269999999,Entire home/apt,151,32,0,351
Bridgeport,41.84355,-87.63899,Private room,27,2,59,37
West Town,41.89775,-87.66924,Entire home/apt,142,3,56,356
Austin,41.87503,-87.74686,Entire home/apt,170,1,12,365
Lower West Side,41.85272,-87.6724,Entire home/apt,136,2,39,176
West Town,41.90994,-87.69193,Entire home/apt,185,6,24,0
Greater Grand Crossing,41.76445,-87.6084,Private room,40,32,0,365
East Garfield Park,41.87351,-87.71453,Entire home/apt,89,1,60,76
Logan Square,41.91792,-87.70956,Entire home/apt,166,2,39,87
Rogers Park,42.02178,-87.66498,Entire home/apt,116,1,48,341
Uptown,41.9657,-87.66498,Entire home/apt,55,1,40,334
Beverly,41.70815,-87.68906,Private room,59,1,22,320
Irving Park,41.94806,-87.70383,Entire home/apt,77,32,5,28
Near North Side,41.89853,-87.63915,Entire home/apt,214,32,3,306
Lake View,41.937821,-87.6508314,Entire home/apt,272,32,0,0
Lake View,41.937821,-87.6508314,Entire home/apt,272,32,0,0
Near West Side,41.876791,-87.64762,Entire home/apt,146,32,1,0
West Town,41.89949,-87.66369,Entire home/apt,274,3,13,246
Edgewater,41.99771,-87.65712,Entire home/apt,86,1,69,288
Avondale,41.9375,-87.71226,Entire home/apt,134,2,35,129
Lake View,41.937821,-87.6508314,Entire home/apt,117,32,2,38
Near West Side,41.876791,-87.64762,Entire home/apt,217,32,0,334
Near West Side,41.876791,-87.64762,Entire home/apt,157,32,0,257
Greater Grand Crossing,41.7567,-87.6224,Entire home/apt,150,2,0,361
East Garfield Park,41.87767,-87.71454,Entire home/apt,197,2,10,330
Humboldt Park,41.90613,-87.71246,Entire home/apt,90,1,43,328
Lincoln Park,41.92495,-87.66112,Entire home/apt,107,32,0,348
Roseland,41.68599,-87.63003,Entire home/apt,46,60,0,365
West Town,41.89657,-87.69596,Entire home/apt,116,2,31,248
West Town,41.89492416381836,-87.6670150756836,Entire home/apt,294,1,38,244
Austin,41.87939,-87.77427,Private room,114,1,5,89
Lincoln Square,41.9645689022386,-87.68560054850212,Entire home/apt,112,2,86,328
Lower West Side,41.85639,-87.65349,Entire home/apt,190,1,72,333
Lake View,41.9506,-87.66716,Entire home/apt,300,3,25,67
West Town,41.8978,-87.69428,Entire home/apt,105,2,22,163
Douglas,41.8251,-87.62174,Private room,65,32,3,365
Lincoln Square,41.97516,-87.68209,Entire home/apt,58,1,65,176
Lake View,41.937821,-87.6508314,Entire home/apt,110,32,1,37
West Town,41.908188,-87.67218,Private room,168,1,14,175
Lincoln Square,41.97558,-87.67634,Entire home/apt,71,2,34,169
Logan Square,41.93154,-87.69087,Entire home/apt,75,1,41,208
South Shore,41.76385,-87.55921,Private room,349,1,0,346
Near South Side,41.86492479999999,-87.6246539,Entire home/apt,135,32,1,168
South Shore,41.76183,-87.56047,Private room,299,1,0,347
Near South Side,41.8634989,-87.62704269999999,Entire home/apt,146,32,0,272
Near West Side,41.876791,-87.64762,Entire home/apt,128,32,0,363
Logan Square,41.93,-87.70903,Entire home/apt,83,60,1,61
Lincoln Park,41.92804,-87.67432,Private room,145,1,4,90
Hyde Park,41.79892,-87.58997,Entire home/apt,111,2,40,171
Near West Side,41.8719,-87.68279,Entire home/apt,130,2,38,214
Bridgeport,41.84221,-87.64077,Entire home/apt,70,1,38,236
Bridgeport,41.83209,-87.64225,Entire home/apt,209,1,13,139
Grand Boulevard,41.81238,-87.62344,Entire home/apt,141,2,6,266
Near West Side,41.876791,-87.64762,Entire home/apt,261,32,0,0
Near North Side,41.89829,-87.6287,Entire home/apt,178,32,0,320
Lincoln Square,41.97096,-87.6786,Entire home/apt,92,33,1,189
Near West Side,41.876791,-87.64762,Entire home/apt,119,32,0,357
Washington Park,41.79953660371553,-87.62132417410612,Entire home/apt,173,2,18,0
Near West Side,41.876791,-87.64762,Entire home/apt,183,32,0,0
Near North Side,41.89829,-87.6287,Entire home/apt,138,32,0,351
Near North Side,41.89829,-87.6287,Entire home/apt,128,32,0,284
West Town,41.8958899,-87.6658611,Entire home/apt,147,32,0,354
West Town,41.8958899,-87.6658611,Entire home/apt,157,32,0,330
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,186,32,0,330
Near North Side,41.89698,-87.62809,Entire home/apt,154,1,59,296
West Town,41.91051,-87.68782,Entire home/apt,108,1,26,149
Lake View,41.9442,-87.65546,Entire home/apt,215,3,32,53
West Town,41.89886,-87.6866,Entire home/apt,200,2,15,57
Lincoln Park,41.93244,-87.6406,Entire home/apt,129,32,3,282
West Town,41.90869,-87.69272,Entire home/apt,200,33,0,179
Near West Side,41.8753,-87.65416,Entire home/apt,300,1,0,0
Greater Grand Crossing,41.76402,-87.61034,Entire home/apt,106,2,12,7
Lincoln Park,41.91553,-87.65169,Entire home/apt,289,2,57,56
Near West Side,41.86818,-87.68273,Entire home/apt,152,3,22,46
Logan Square,41.928635,-87.725136,Entire home/apt,111,2,43,306
Rogers Park,42.02178,-87.66498,Entire home/apt,106,1,37,342
Lake View,41.96105,-87.67098,Entire home/apt,149,7,35,304
Humboldt Park,41.89545,-87.70655,Entire home/apt,86,2,16,168
Logan Square,41.91625,-87.68093,Entire home/apt,80,1,0,0
Logan Square,41.91554,-87.67978,Entire home/apt,131,1,41,323
Near West Side,41.86897,-87.68274,Entire home/apt,95,32,5,327
Near South Side,41.86492479999999,-87.6246539,Entire home/apt,155,32,0,288
West Town,41.90254,-87.67437,Entire home/apt,214,2,14,225
Douglas,41.83469,-87.62042,Entire home/apt,115,2,55,136
Near North Side,41.88977,-87.63269,Entire home/apt,96,32,1,0
Montclare,41.92927,-87.79612,Entire home/apt,55,32,1,320
Bridgeport,41.83526,-87.6593,Private room,47,1,17,359
Avondale,41.93955,-87.71742,Entire home/apt,83,32,3,242
Near South Side,41.86492479999999,-87.6246539,Entire home/apt,137,32,0,351
Logan Square,41.926113,-87.713028,Entire home/apt,140,2,28,192
Lincoln Square,41.96454484446774,-87.69017533389882,Entire home/apt,103,2,60,136
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,142,32,0,269
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,163,32,0,16
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,107,32,0,259
West Ridge,41.98996,-87.69948,Entire home/apt,85,2,1,307
Near West Side,41.87182,-87.68242,Private room,65,32,0,365
Near West Side,41.8763,-87.65371999999999,Entire home/apt,161,32,1,350
Near West Side,41.8763,-87.65371999999999,Entire home/apt,148,32,0,357
Ashburn,41.745434,-87.73465,Entire home/apt,75,1,55,300
Irving Park,41.96106,-87.70656,Entire home/apt,150,2,41,284
Uptown,41.95658,-87.65,Entire home/apt,100,1,53,146
Lower West Side,41.85441,-87.68431,Entire home/apt,54,2,14,14
Near South Side,41.8646,-87.62512,Entire home/apt,280,180,0,0
Lincoln Park,41.91985,-87.64151,Entire home/apt,187,3,17,148
Woodlawn,41.77474,-87.59296,Entire home/apt,325,1,22,308
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,118,32,0,334
Near West Side,41.87753,-87.67937,Entire home/apt,152,2,40,248
New City,41.8175,-87.63728,Entire home/apt,85,1,30,351
Near North Side,41.89589,-87.6279,Entire home/apt,138,4,11,28
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,128,32,1,337
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,193,32,0,308
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,207,32,0,298
Albany Park,41.96714798824466,-87.70013875849038,Entire home/apt,94,2,54,148
Ashburn,41.7419,-87.72642,Private room,53,1,4,365
Rogers Park,42.01434767071414,-87.68293228700789,Entire home/apt,97,2,0,344
Near West Side,41.8763,-87.65371999999999,Entire home/apt,194,32,0,0
Near South Side,41.8634989,-87.62704269999999,Entire home/apt,143,32,0,299
Washington Park,41.7981,-87.6172,Entire home/apt,108,32,0,30
Lake View,41.94652,-87.65726,Entire home/apt,179,4,35,332
North Lawndale,41.85664,-87.72136,Entire home/apt,216,1,11,320
West Town,41.89785,-87.69156,Entire home/apt,300,2,0,363
Lake View,41.95006,-87.66025,Entire home/apt,321,2,18,262
Lake View,41.94344,-87.67016,Entire home/apt,58,1,26,175
West Garfield Park,41.87299,-87.72663,Private room,62,1,22,298
Woodlawn,41.77517,-87.59239,Entire home/apt,200,1,13,360
Norwood Park,41.99144,-87.79076,Entire home/apt,149,2,20,358
Loop,41.883057,-87.625771,Entire home/apt,270,1,60,284
Avondale,41.94405,-87.72416,Entire home/apt,71,1,31,171
Avondale,41.93279,-87.71832,Entire home/apt,199,3,23,318
Hyde Park,41.80048,-87.58443,Entire home/apt,100,1,8,355
Hyde Park,41.79815,-87.58342,Entire home/apt,138,1,22,289
Kenwood,41.80352,-87.58681,Entire home/apt,88,1,24,355
Austin,41.87374,-87.74619,Entire home/apt,213,2,15,283
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,329,32,0,0
Near North Side,41.9080259,-87.62638960000001,Entire home/apt,132,32,0,350
Lake View,41.93476,-87.66012,Entire home/apt,175,1,0,104
Logan Square,41.92294,-87.70265,Entire home/apt,101,2,44,123
Lake View,41.93459,-87.64277,Entire home/apt,200,32,1,228
Uptown,41.975639,-87.662842,Entire home/apt,151,2,14,191
New City,41.80058,-87.65051,Private room,30,32,1,364
East Side,41.71891,-87.53741,Private room,39,1,23,365
Irving Park,41.95858,-87.71505,Entire home/apt,153,1,22,20
Lake View,41.94192,-87.64874,Entire home/apt,353,3,48,138
Lincoln Park,41.9194968,-87.6629995,Entire home/apt,190,32,0,210
Uptown,41.96845829999999,-87.65792119999999,Entire home/apt,125,32,0,329
Uptown,41.96845829999999,-87.65792119999999,Entire home/apt,124,32,2,350
Uptown,41.96845829999999,-87.65792119999999,Entire home/apt,108,32,0,260
Near North Side,41.89264,-87.61748,Entire home/apt,209,32,0,89
Loop,41.883057,-87.625771,Entire home/apt,306,2,56,303
Near North Side,41.89246,-87.62793,Entire home/apt,175,4,17,264
Near South Side,41.86259,-87.62606,Entire home/apt,223,2,21,331
Douglas,41.82742,-87.61985,Entire home/apt,288,2,29,239
Near West Side,41.87889,-87.66814,Entire home/apt,98,1,75,48
West Ridge,41.99805,-87.68744,Entire home/apt,114,3,36,141
Woodlawn,41.7752,-87.60602,Entire home/apt,210,32,6,0
West Town,41.90618,-87.67867,Private room,58,14,2,47
West Town,41.9021,-87.67393,Entire home/apt,85,1,46,272
Logan Square,41.91708,-87.69445,Private room,39,2,53,43
Edgewater,41.98932,-87.65836,Entire home/apt,79,1,25,355
Logan Square,41.91839,-87.69636,Private room,46,2,76,39
Near North Side,41.89162,-87.62786,Entire home/apt,268,4,3,309
Avondale,41.93265,-87.69707,Private room,175,1,4,364
Avondale,41.93712,-87.71883,Entire home/apt,100,1,26,151
Near North Side,41.89438,-87.62907,Entire home/apt,182,1,16,84
West Ridge,42.016521,-87.68779,Shared room,19,1,6,167
West Town,41.91123,-87.67565,Entire home/apt,178,1,53,52
Logan Square,41.9187,-87.69629,Private room,46,2,35,41
Near West Side,41.88257,-87.68005,Private room,39,1,10,240
Hyde Park,41.79623,-87.58973,Entire home/apt,104,1,23,354
Near West Side,41.876791,-87.64762,Entire home/apt,240,32,0,0
Near West Side,41.876791,-87.64762,Entire home/apt,140,32,0,357
Near West Side,41.87333,-87.65026,Entire home/apt,129,90,0,90
West Town,41.90825,-87.69122,Entire home/apt,143,1,2,332
Near North Side,41.89079,-87.62861,Entire home/apt,198,4,8,279
Irving Park,41.956024,-87.732918,Entire home/apt,115,1,49,356
West Town,41.90627,-87.68467,Entire home/apt,180,2,30,267
Logan Square,41.93055,-87.69947,Entire home/apt,109,1,63,163
Kenwood,41.81151,-87.60256,Entire home/apt,111,7,9,270
Near North Side,41.89302,-87.62925,Entire home/apt,178,4,6,288
Greater Grand Crossing,41.76789,-87.6191,Private room,130,32,1,363
Lincoln Park,41.9178,-87.64736,Entire home/apt,177,2,79,68
Near West Side,41.87831,-87.68281,Entire home/apt,336,3,32,265
South Shore,41.76057,-87.58694,Shared room,15,11,8,364
Loop,41.88551,-87.62082,Entire home/apt,107,32,1,365
Lincoln Park,41.92245,-87.65092,Entire home/apt,338,4,22,281
West Town,41.89477,-87.66673,Entire home/apt,150,1,6,154
South Shore,41.7679,-87.58185,Entire home/apt,40,32,24,365
East Side,41.69378,-87.53409,Entire home/apt,76,3,26,170
Lake View,41.93977,-87.65196,Entire home/apt,75,1,25,160
Lake View,41.94629,-87.64596,Entire home/apt,56,1,116,166
Near West Side,41.86689,-87.68475,Entire home/apt,149,32,1,340
Auburn Gresham,41.74808,-87.66314,Entire home/apt,142,1,16,365
Irving Park,41.95707,-87.69979,Entire home/apt,104,1,57,241
Hyde Park,41.79885,-87.60494,Entire home/apt,93,2,61,65
Near North Side,41.89191818237305,-87.62904357910156,Entire home/apt,168,4,16,277
Hermosa,41.91474740109289,-87.72463946375755,Entire home/apt,93,2,7,115
West Town,41.90368,-87.67183,Entire home/apt,181,2,8,17
Lincoln Park,41.92668,-87.66653,Entire home/apt,355,1,16,103
West Ridge,41.98836,-87.69274,Entire home/apt,150,1,0,364
Bridgeport,41.83145,-87.64391,Private room,40,2,39,354
Bridgeport,41.82998,-87.64613,Private room,36,2,25,333
Bridgeport,41.83175,-87.64454,Private room,39,1,48,309
Bridgeport,41.83009,-87.64425,Private room,37,2,45,342
Loop,41.86985,-87.62603,Entire home/apt,214,3,86,239
Logan Square,41.9216,-87.70328,Entire home/apt,105,2,74,216
Near West Side,41.8679,-87.6876,Entire home/apt,86,32,4,273
Near North Side,41.8928,-87.62812,Entire home/apt,347,4,9,327
Near West Side,41.87915,-87.64339,Entire home/apt,299,32,0,0
Loop,41.88272,-87.62501,Private room,60,32,3,222
Greater Grand Crossing,41.766,-87.61426,Entire home/apt,187,3,26,57
West Englewood,41.78692,-87.66138,Private room,28,32,2,353
Bridgeport,41.82846,-87.64804,Private room,35,1,31,355
Bridgeport,41.8294,-87.6469,Private room,29,1,10,342
Mckinley Park,41.83508,-87.68156,Entire home/apt,215,3,5,219
Lincoln Park,41.92838,-87.64116,Entire home/apt,98,1,52,110
Bridgeport,41.84035,-87.6573,Entire home/apt,79,30,91,4
Jefferson Park,41.96973,-87.77226,Entire home/apt,171,2,1,33
Ashburn,41.73623,-87.69113,Entire home/apt,141,32,0,365
West Ridge,42.01473,-87.70662,Entire home/apt,89,1,25,132
West Town,41.90157,-87.66557,Entire home/apt,96,1,60,318
Loop,41.8689,-87.6279,Entire home/apt,170,3,42,245
Armour Square,41.84193,-87.63243,Private room,42,2,27,39
Bridgeport,41.8262,-87.64675,Private room,35,1,45,321
Logan Square,41.92590962428663,-87.69934402445388,Entire home/apt,69,30,0,365
Hyde Park,41.79719,-87.58853,Entire home/apt,92,1,42,337
Bridgeport,41.82623,-87.64813,Private room,35,1,34,304
Near North Side,41.9029299,-87.6441632,Entire home/apt,122,32,0,168
Near North Side,41.9029299,-87.6441632,Entire home/apt,181,32,0,335
Near North Side,41.89286449999999,-87.61651669999999,Entire home/apt,136,32,0,276
Lincoln Park,41.91309,-87.64282,Entire home/apt,130,1,52,321
Near North Side,41.9029299,-87.6441632,Entire home/apt,121,32,0,291
Woodlawn,41.773773,-87.596397,Entire home/apt,103,2,25,79
Lake View,41.94194,-87.6444,Private room,195,3,24,39
Douglas,41.84338,-87.61579,Entire home/apt,89,1,35,273
Grand Boulevard,41.817343965170565,-87.6104780775495,Entire home/apt,183,2,5,227
West Town,41.89025,-87.67479,Entire home/apt,113,1,65,9
Lincoln Park,41.91137,-87.64921,Entire home/apt,325,6,8,156
Loop,41.88134,-87.62464,Entire home/apt,231,2,70,335
Loop,41.87629,-87.62851,Entire home/apt,297,2,69,185
Washington Park,41.78627,-87.6193,Entire home/apt,89,1,58,132
Loop,41.8767,-87.62995,Entire home/apt,147,3,1,204
Armour Square,41.85318,-87.63198,Entire home/apt,200,1,30,134
Humboldt Park,41.90934,-87.71271,Private room,103,2,25,230
West Town,41.9055,-87.68902,Entire home/apt,79,2,18,160
Edgewater,41.98884,-87.66781,Entire home/apt,96,1,25,360
Beverly,41.71188,-87.68407,Entire home/apt,200,2,4,53
Lake View,41.94608,-87.66054,Entire home/apt,83,3,48,318
Near North Side,41.89133834838867,-87.63783264160156,Entire home/apt,156,2,10,249
Gage Park,41.80155358754811,-87.7104155104726,Private room,81,32,0,161
Near West Side,41.876791,-87.64762,Entire home/apt,232,32,0,245
Irving Park,41.95218,-87.72759,Entire home/apt,41,32,1,78
Lincoln Park,41.92615,-87.66263,Entire home/apt,124,2,44,335
Near South Side,41.86448,-87.62647,Entire home/apt,312,2,54,354
Chatham,41.75103,-87.6114,Entire home/apt,170,2,7,334
Near South Side,41.86317,-87.62661,Entire home/apt,215,2,333,353
West Ridge,41.99915,-87.6992,Entire home/apt,87,32,4,264
Near North Side,41.88936,-87.6381,Entire home/apt,276,32,2,89
Grand Boulevard,41.81201,-87.62335,Entire home/apt,178,2,20,266
Near West Side,41.87073,-87.68508,Entire home/apt,264,1,40,283
Near South Side,41.86389,-87.62688,Entire home/apt,292,2,72,305
Near North Side,41.89967,-87.62212,Entire home/apt,100,32,0,365
Near West Side,41.87643,-87.64666,Entire home/apt,237,3,106,358
Lower West Side,41.85529,-87.67095,Entire home/apt,96,2,60,23
Lower West Side,41.85419,-87.67141,Entire home/apt,67,2,37,47
Lower West Side,41.85386,-87.67103,Entire home/apt,44,30,2,10
Lincoln Park,41.9319,-87.66141,Entire home/apt,93,7,43,252
Lake View,41.94402,-87.64669,Entire home/apt,67,1,37,159
Near South Side,41.86407,-87.62689,Entire home/apt,197,2,273,362
Belmont Cragin,41.9383,-87.75544,Private room,88,32,0,365
Near South Side,41.86434,-87.62585,Entire home/apt,75,103,0,365
Loop,41.8754,-87.62877,Entire home/apt,290,3,277,365
Near South Side,41.86453,-87.62541,Entire home/apt,286,2,97,295
West Town,41.90154,-87.6692,Entire home/apt,179,32,2,293
North Center,41.94571,-87.68312,Entire home/apt,116,4,39,96
Lincoln Square,41.97807,-87.69795,Entire home/apt,231,2,3,274
Lower West Side,41.858,-87.64739,Private room,87,1,38,7
Loop,41.88502,-87.63388,Entire home/apt,105,32,3,213
West Town,41.90184,-87.6808,Entire home/apt,135,1,33,345
Near West Side,41.87878,-87.67287,Entire home/apt,218,2,11,226
Near North Side,41.89286449999999,-87.61651669999999,Entire home/apt,136,32,0,310
Near North Side,41.89286449999999,-87.61651669999999,Entire home/apt,151,32,0,261
Near North Side,41.9029299,-87.6441632,Entire home/apt,140,32,0,342
Near North Side,41.89286449999999,-87.61651669999999,Entire home/apt,154,32,0,336
Near North Side,41.9029299,-87.6441632,Entire home/apt,147,32,1,321
Near North Side,41.89286449999999,-87.61651669999999,Entire home/apt,129,32,0,325
Near South Side,41.86274,-87.62473,Entire home/apt,312,2,56,314
Grand Boulevard,41.80977,-87.62331,Entire home/apt,150,2,45,259
Lake View,41.93871,-87.66824,Entire home/apt,180,3,16,178
Near North Side,41.895451,-87.628937,Entire home/apt,125,32,2,0
West Town,41.90481,-87.67585,Entire home/apt,165,7,6,112
Loop,41.877228,-87.629013,Entire home/apt,203,4,60,19
East Garfield Park,41.87489,-87.69214,Entire home/apt,144,2,30,97
Lincoln Park,41.91340255737305,-87.63967895507812,Entire home/apt,194,2,34,260
Edgewater,41.992912,-87.663963,Entire home/apt,304,2,39,117
Mckinley Park,41.83452,-87.66433,Private room,40,2,26,31
Logan Square,41.91371,-87.70776,Entire home/apt,250,50,1,65
Albany Park,41.96828,-87.70461,Entire home/apt,194,3,10,220
Near West Side,41.87409,-87.68761,Entire home/apt,82,32,0,291
Lake View,41.93731,-87.65663,Entire home/apt,244,1,54,242
Loop,41.86864,-87.62665,Entire home/apt,95,1,54,36
Near North Side,41.89524,-87.63263,Private room,201,2,3,286
Near North Side,41.89022,-87.62591,Entire home/apt,150,32,0,361
Irving Park,41.95442,-87.71791,Entire home/apt,86,2,25,314
Loop,41.88069,-87.62467,Entire home/apt,224,2,119,363
Near South Side,41.86443,-87.62601,Entire home/apt,262,2,80,286
Avondale,41.94042,-87.71541,Entire home/apt,101,3,56,137
Near South Side,41.86464,-87.62683,Entire home/apt,223,2,11,260
East Garfield Park,41.88388279044686,-87.70899840980255,Private room,47,32,14,354
Lincoln Park,41.9194968,-87.6629995,Entire home/apt,127,32,0,349
Lincoln Park,41.9194968,-87.6629995,Entire home/apt,119,32,0,351
Lincoln Park,41.9194968,-87.6629995,Entire home/apt,191,32,0,287
Lincoln Park,41.9194968,-87.6629995,Entire home/apt,110,32,0,232
Loop,41.87593,-87.62818,Entire home/apt,233,3,231,365
Austin,41.89027,-87.76138,Entire home/apt,292,3,11,90
Loop,41.88267,-87.62518,Entire home/apt,350,2,33,350
Avondale,41.93584,-87.69672,Entire home/apt,100,5,4,148
Loop,41.88765,-87.61945,Entire home/apt,143,32,2,365
Edgewater,41.99815,-87.66264,Entire home/apt,165,2,23,320
Loop,41.88051,-87.62484,Entire home/apt,271,2,79,363
Near West Side,41.87814,-87.647,Entire home/apt,287,3,46,221
Englewood,41.78521,-87.63317,Entire home/apt,76,2,16,71
Loop,41.87698,-87.62993,Entire home/apt,195,3,30,177
Loop,41.8777,-87.62805,Entire home/apt,231,2,63,176
Albany Park,41.96866,-87.73211,Entire home/apt,123,1,18,26
Loop,41.88048,-87.62514,Entire home/apt,272,2,7,91
Logan Square,41.91596,-87.7052,Entire home/apt,147,3,41,140
Near West Side,41.88043,-87.65055,Entire home/apt,316,32,0,126
Logan Square,41.91707,-87.70911,Entire home/apt,91,2,15,178
Beverly,41.7088,-87.6613,Entire home/apt,93,2,30,158
Lower West Side,41.85725,-87.65923,Entire home/apt,68,32,4,347
East Side,41.70492,-87.53798,Entire home/apt,112,2,5,260
Logan Square,41.91447,-87.7064,Entire home/apt,89,4,20,16
Rogers Park,42.00511,-87.65927,Entire home/apt,167,1,8,217
West Town,41.89412,-87.66098,Entire home/apt,213,3,14,196
Bridgeport,41.82767,-87.6384,Entire home/apt,50,32,3,91
Belmont Cragin,41.92798,-87.74534,Private room,25,32,2,364
Bridgeport,41.84093,-87.65934,Private room,50,2,7,351
Grand Boulevard,41.82063,-87.61904,Entire home/apt,213,2,21,356
Near North Side,41.89958,-87.61998,Entire home/apt,217,2,74,199
West Town,41.91358,-87.68843,Entire home/apt,125,2,13,0
Near West Side,41.8704,-87.68311,Entire home/apt,117,32,4,308
Lower West Side,41.85052,-87.68077,Entire home/apt,78,3,34,34
Near North Side,41.89286449999999,-87.61651669999999,Entire home/apt,128,32,0,324
Near North Side,41.89286449999999,-87.61651669999999,Entire home/apt,208,32,0,306
Loop,41.8860812,-87.63422229999998,Entire home/apt,175,32,0,0
Greater Grand Crossing,41.76679,-87.62086,Entire home/apt,200,1,0,365
Lake View,41.94194,-87.6661,Private room,55,2,39,266
Woodlawn,41.77629,-87.60578,Entire home/apt,183,1,7,160
Logan Square,41.92615,-87.69825,Entire home/apt,203,2,30,355
Irving Park,41.9473,-87.712143,Entire home/apt,117,3,24,23
Near West Side,41.8746756,-87.6745347,Entire home/apt,164,32,0,314
Lower West Side,41.85829544067383,-87.64751434326172,Entire home/apt,105,2,70,288
New City,41.81502,-87.64159,Private room,37,1,0,126
Loop,41.87718,-87.62872,Entire home/apt,296,3,68,294
Loop,41.88266,-87.62547,Entire home/apt,228,2,170,363
Logan Square,41.92228,-87.68716,Private room,54,1,28,337
Lake View,41.94915,-87.65872,Private room,43,2,31,276
Loop,41.8847,-87.62966,Entire home/apt,294,32,0,50
Near West Side,41.8746756,-87.6745347,Entire home/apt,166,32,0,321
Near West Side,41.8746756,-87.6745347,Entire home/apt,100,32,0,364
Loop,41.88504,-87.62812,Entire home/apt,114,32,1,283
South Lawndale,41.84311,-87.72174,Entire home/apt,83,32,2,365
Loop,41.88352,-87.63299,Entire home/apt,192,32,0,89
Loop,41.88552,-87.62788,Entire home/apt,194,32,2,359
Grand Boulevard,41.81976,-87.62071,Entire home/apt,143,3,35,138
South Shore,41.76475,-87.58241,Entire home/apt,161,2,17,351
West Ridge,42.00541,-87.6827,Entire home/apt,86,33,3,225
South Lawndale,41.85128,-87.70368,Entire home/apt,70,2,48,239
Near North Side,41.89368,-87.6326,Private room,201,2,1,286
